task,object,material,object_motion,prompt
task1_1,bear_plushie,material_05,bus_traveling,"A <o1> bear, made of <m5> colorful glass, is <v3> running through a sun-dappled forest clearing where rays of light refract off its shimmering surface, casting rainbow patterns on the mossy ground and surrounding ferns."
task1_2,duck_toy,material_04,playingGuitar,"A <o10> duck, made of <m4> rusty metal, is <v8> playing the guitar on a weathered wooden porch at sunset, surrounded by overgrown wildflowers and scattered autumn leaves, with warm golden light casting long shadows and highlighting the metallic patina of its feathers."
task1_3,terracotta_warrior,material_10,car-roundabout,"A <o18> terracotta warrior, made of <m10> glass, is <v4> running through a sunlit ancient courtyard scattered with shattered ceramic fragments and overgrown moss, where shafts of golden light pierce through crumbling stone archways, highlighting the translucent, fragile contours of its crystalline form."
task1_4,pet_cat7,material_09,playingpiano,"A <o13> cat, made of <m9> colorful clay, is <v9> playing the piano in a cozy, sunlit music room filled with vintage instruments, scattered sheet music, and warm wooden floors that reflect the soft glow of afternoon light streaming through lace curtains."
task2_1,terracotta_warrior,artstyle_3,playing_flute,"A <o18> terracotta warrior, is <v7> playing the flute amidst ancient ruins overgrown with moss and wildflowers under a soft golden sunset, in <s3> watercolor painting style."
task2_2,dog8,artstyle_13,car-roundabout,"A <o9> dog, is <v4> running through a moonlit forest with bioluminescent mushrooms and shimmering leaves casting soft glows on the misty path, in <s13> glowing style."
task2_3,terracotta_warrior,artstyle_11,car-turn,"A <o18> terracotta warrior, is <v5> running through a sun-drenched ancient Chinese courtyard with scattered bronze artifacts, broken pottery shards, and fluttering silk banners in the wind, in <s11> cartoon line drawing style."
task2_4,plushie_teddybear,artstyle_10,playingGuitar,"A <o16> teddy bear, is <v8> playing the guitar on a quiet moonlit veranda surrounded by swaying bamboo and delicate cherry blossoms, in <s10> Chinese ink-wash style."
task3_1,pink_plushie,material_08,zoom_in,"A <o14> toy, made of <m8> sparkling diamonds, is resting on a luxurious velvet display pedestal inside an opulent museum exhibit bathed in soft golden spotlights, <c9> camera zooms in."
task3_2,cat2,material_10,move_around3,"A <o2> cat, made of <m10> glass, is perched on a sleek, minimalist windowsill overlooking a softly blurred cityscape at twilight, with ambient light refracting through its transparent form, <c3> camera moves around."
task3_3,dog6,material_01,move_forward,"A <o7> dog, made of <m1> colorful clay, is sitting on a sunlit artisan's worktable scattered with clay tools, half-finished sculptures, and vibrant paint pots, <c5> camera moves forward."
task3_4,toy_bear,material_03,move_left,"A <o19> bear, made of <m3> gold, is perched atop a crystalline glacier under a twilight sky streaked with auroras, <c6> camera moves left."
task4_1,dog3,artstyle_11,move_around3,"A <o5> dog, is sitting playfully in a sunny suburban backyard with a picket fence, green grass, and a few scattered toys like a red ball and a chew bone, in <s11> cartoon line drawing style, <c3> camera moves around."
task4_2,pet_cat7,artstyle_22,move_forward,"A <o13> cat, is perched on a sunlit windowsill overlooking a quiet autumn street with falling leaves and soft shadows, in <s22> sketch style, <c5> camera moves forward."
task4_3,plushie_panda,artstyle_1,move_up,"A <o15> panda, is sitting peacefully on a mossy rock beside a gently flowing mountain stream surrounded by misty bamboo groves and soft ferns, in <s1> watercolor painting style, <c8> camera moves up."
task4_4,dog8,artstyle_17,move_forward,"A <o9> dog, is standing on a sunlit marble pedestal surrounded by shimmering golden puddles that reflect its melting form, in <s17> melting golden 3D rendering style, <c5> camera moves forward."
